,,,,,,,,,,,,,,,,,,
,,education,,0.06,0.04,0.04,0.03,0.0825,,,,,,,,,,
,,urban greenery,,0.11,0.05,0.04,0.06,0,,,,,,,,,,
,,public space,,0.1,0.1,0.09,0.11,0,,,,,,,,,,
,,welfare,,0.01,0,0,0,0,,,,,,,,,,
,,culture,,0.05,0.04,0.04,0.04,0,,,,,,,,,,
,,environmental protection,,0.14,0.08,0.04,0.06,0,,,,,,,,,,
,,public transit and roads,,0.03,0.04,0.05,0.05,0,,,,,,,,,,
,,sport,,0.04,0.02,0.02,0.02,0,,,,,,,,,,
,,health,,0.07,0.003,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Polan wlochy Data,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Frequencies of occurence,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.33,0.62,0.49,0.41,0.085,,,,,,,,,,
,,urban greenery,,0.19,0.11,0.18,0.31,0.7025,,,,,,,,,,
,,public space,,0.37,0.47,0.63,0.63,0.715,,,,,,,,,,
,,welfare,,0.11,0,0.02,0.02,0.7925,,,,,,,,,,
,,culture,,0.19,0.4,0.39,0.3,0.4525,,,,,,,,,,
,,environmental protection,,0.11,0.18,0.24,0.39,0.765,,,,,,,,,,
,,public transit and roads,,0.07,0.09,0.22,0.31,0,,,,,,,,,,
,,sport,,0.44,0.29,0.24,0.17,0,,,,,,,,,,
,,health,,0.37,0.09,0.02,0.02,0,,,,,,,,,,
,,,,,,,,#VALUE!,,,,,,,,,,
,,Weighted Votes,,,,,,0.0425,,,,,,,,,,
,,,,,,,,0.2925,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.275,,,,,,,,,,
,,education,,0.15,0.25,0.16,0.12,0.3275,,,,,,,,,,
,,urban greenery,,0.13,0.08,0.08,0.16,0.18,,,,,,,,,,
,,public space,,0.25,0.22,0.26,0.25,0.31,,,,,,,,,,
,,welfare,,0.05,0,0,0.01,0,,,,,,,,,,
,,culture,,0.08,0.14,0.1,0.09,0,,,,,,,,,,
,,environmental protection,,0.08,0.12,0.12,0.18,0,,,,,,,,,,
,,public transit and roads,,0.03,0.05,0.09,0.12,0,,,,,,,,,,
,,sport,,0.21,0.09,0.09,0.04,0,,,,,,,,,,
,,health,,0.18,0.02,0.01,0.01,#VALUE!,,,,,,,,,,
,,,,,,,,0.0125,,,,,,,,,,
,,,,,,,,0.08,,,,,,,,,,
,,,,,,,,0.07,,,,,,,,,,
,,,,,,,,0.0975,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.04,,,,,,,,,,
,,education,,0.07,0.11,0.06,0.05,0.0825,,,,,,,,,,
,,urban greenery,,0.06,0.04,0.03,0.05,0,,,,,,,,,,
,,public space,,0.11,0.1,0.1,0.09,0,,,,,,,,,,
,,welfare,,0.02,0,0,0,0,,,,,,,,,,
,,culture,,0.03,0.07,0.05,0.04,0,,,,,,,,,,
,,environmental protection,,0.03,0.04,0.04,0.06,0,,,,,,,,,,
,,public transit and roads,,0.02,0.03,0.04,0.05,0,,,,,,,,,,
,,sport,,0.1,0.04,0.03,0.02,0,,,,,,,,,,
,,health,,0.07,0.01,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,praga-poludnie,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Frequencies of occurence,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.43,0.43,0.38,0.39,0.085,,,,,,,,,,
,,urban greenery,,0.14,0.24,0.27,0.21,0.7025,,,,,,,,,,
,,public space,,0.46,0.63,0.6,0.65,0.715,,,,,,,,,,
,,welfare,,0.11,0.06,0.03,0.03,0.7925,,,,,,,,,,
,,culture,,0.26,0.3,0.22,0.24,0.4525,,,,,,,,,,
,,environmental protection,,0.23,0.22,0.32,0.31,0.765,,,,,,,,,,
,,public transit and roads,,0.2,0.22,0.25,0.24,0,,,,,,,,,,
,,sport,,0.2,0.25,0.26,0.25,0,,,,,,,,,,
,,health,,0.23,0,0.03,0,0,,,,,,,,,,
,,,,,,,,#VALUE!,,,,,,,,,,
,,Weighted Votes,,,,,,0.0425,,,,,,,,,,
,,,,,,,,0.2925,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.275,,,,,,,,,,
,,education,,0.17,0.07,0.05,0.06,0.3275,,,,,,,,,,
,,urban greenery,,0.1,0.07,0.08,0.08,0.18,,,,,,,,,,
,,public space,,0.22,0.16,0.14,0.18,0.31,,,,,,,,,,
,,welfare,,0.04,0.01,0,0.01,0,,,,,,,,,,
,,culture,,0.11,0.05,0.02,0.04,0,,,,,,,,,,
,,environmental protection,,0.17,0.09,0.09,0.11,0,,,,,,,,,,
,,public transit and roads,,0.09,0.05,0.05,0.06,0,,,,,,,,,,
,,sport,,0.08,0.06,0.04,0.04,0,,,,,,,,,,
,,health,,0.08,0,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,0.0125,,,,,,,,,,
,,,,,,,,0.08,,,,,,,,,,
,,,,,,,,0.07,,,,,,,,,,
,,,,,,,,0.0975,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.04,,,,,,,,,,
,,education,,0.08,0.03,0.02,0.02,0.0825,,,,,,,,,,
,,urban greenery,,0.03,0.03,0.03,0.03,0,,,,,,,,,,
,,public space,,0.09,0.06,0.05,0.08,0,,,,,,,,,,
,,welfare,,0.02,0.01,0,0,0,,,,,,,,,,
,,culture,,0.05,0.02,0.01,0.02,0,,,,,,,,,,
,,environmental protection,,0.09,0.04,0.03,0.04,0,,,,,,,,,,
,,public transit and roads,,0.04,0.02,0.03,0.03,0,,,,,,,,,,
,,sport,,0.03,0.02,0.02,0.02,0,,,,,,,,,,
,,health,,0.04,0,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,rembertwo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Frequencies of occurence,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.65,0.61,0.58,0.52,0.085,,,,,,,,,,
,,urban greenery,,0.13,0.07,0.06,0.05,0.7025,,,,,,,,,,
,,public space,,0.3,0.34,0.34,0.47,0.715,,,,,,,,,,
,,welfare,,0,0.02,0.17,0.17,0.7925,,,,,,,,,,
,,culture,,0.61,0.68,0.74,0.62,0.4525,,,,,,,,,,
,,environmental protection,,0.13,0.1,0.06,0.12,0.765,,,,,,,,,,
,,public transit and roads,,0.17,0.12,0.09,0.11,0,,,,,,,,,,
,,sport,,0.09,0.12,0.04,0.11,0,,,,,,,,,,
,,health,,0.09,0.05,0,0,0,,,,,,,,,,
,,,,,,,,#VALUE!,,,,,,,,,,
,,Weighted Votes,,,,,,0.0425,,,,,,,,,,
,,,,,,,,0.2925,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.275,,,,,,,,,,
,,education,,0.41,0.22,0.23,0.13,0.3275,,,,,,,,,,
,,urban greenery,,0.09,0.03,0.03,0.03,0.18,,,,,,,,,,
,,public space,,0.19,0.1,0.14,0.18,0.31,,,,,,,,,,
,,welfare,,0,0.01,0.06,0.03,0,,,,,,,,,,
,,culture,,0.36,0.21,0.26,0.16,0,,,,,,,,,,
,,environmental protection,,0.06,0.04,0.03,0.06,0,,,,,,,,,,
,,public transit and roads,,0.12,0.05,0.05,0.04,0,,,,,,,,,,
,,sport,,0.07,0.04,0.03,0.03,0,,,,,,,,,,
,,health,,0.06,0.01,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,0.0125,,,,,,,,,,
,,,,,,,,0.08,,,,,,,,,,
,,,,,,,,0.07,,,,,,,,,,
,,,,,,,,0.0975,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.04,,,,,,,,,,
,,education,,0.21,0.11,0.1,0.06,0.0825,,,,,,,,,,
,,urban greenery,,0.03,0.01,0.01,0.01,0,,,,,,,,,,
,,public space,,0.07,0.06,0.07,0.09,0,,,,,,,,,,
,,welfare,,0,0,0.03,0.02,0,,,,,,,,,,
,,culture,,0.18,0.1,0.13,0.07,0,,,,,,,,,,
,,environmental protection,,0.02,0.02,0.01,0.03,0,,,,,,,,,,
,,public transit and roads,,0.07,0.03,0.02,0.02,0,,,,,,,,,,
,,sport,,0.03,0.02,0.01,0.01,0,,,,,,,,,,
,,health,,0.03,0,0,0,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,praga-polnoc ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Frequencies of occurence,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.39,0.4,0.47,0.52,0.085,,,,,,,,,,
,,urban greenery,,0.14,0.22,0.15,0.05,0.7025,,,,,,,,,,
,,public space,,0.43,0.63,0.71,0.47,0.715,,,,,,,,,,
,,welfare,,0.07,0.01,0.05,0.17,0.7925,,,,,,,,,,
,,culture,,0.21,0.21,0.12,0.62,0.4525,,,,,,,,,,
,,environmental protection,,0.25,0.38,0.27,0.12,0.765,,,,,,,,,,
,,public transit and roads,,0.07,0.15,0.25,0.11,0,,,,,,,,,,
,,sport,,0.36,0.19,0.27,0.11,0,,,,,,,,,,
,,health,,0.43,0.06,0.05,0,0,,,,,,,,,,
,,,,,,,,#VALUE!,,,,,,,,,,
,,Weighted Votes,,,,,,0.0425,,,,,,,,,,
,,,,,,,,0.2925,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.275,,,,,,,,,,
,,education,,0.18,0.11,0.15,0.13,0.3275,,,,,,,,,,
,,urban greenery,,0.12,0.12,0.06,0.03,0.18,,,,,,,,,,
,,public space,,0.25,0.24,0.29,0.18,0.31,,,,,,,,,,
,,welfare,,0.03,0.01,0.01,0.03,0,,,,,,,,,,
,,culture,,0.08,0.05,0.03,0.16,0,,,,,,,,,,
,,environmental protection,,0.19,0.17,0.16,0.06,0,,,,,,,,,,
,,public transit and roads,,0.04,0.05,0.12,0.04,0,,,,,,,,,,
,,sport,,0.13,0.06,0.08,0.03,0,,,,,,,,,,
,,health,,0.18,0.02,0.01,0,#VALUE!,,,,,,,,,,
,,,,,,,,0.0125,,,,,,,,,,
,,,,,,,,0.08,,,,,,,,,,
,,,,,,,,0.07,,,,,,,,,,
,,,,,,,,0.0975,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.04,,,,,,,,,,
,,education,,0.07,0.05,0.06,0.06,0.0825,,,,,,,,,,
,,urban greenery,,0.04,0.05,0.02,0.01,0,,,,,,,,,,
,,public space,,0.09,0.1,0.12,0.09,0,,,,,,,,,,
,,welfare,,0.01,0,0,0.02,0,,,,,,,,,,
,,culture,,0.04,0.02,0.01,0.07,0,,,,,,,,,,
,,environmental protection,,0.08,0.07,0.06,0.03,0,,,,,,,,,,
,,public transit and roads,,0.01,0.02,0.05,0.02,0,,,,,,,,,,
,,sport,,0.07,0.03,0.04,0.01,0,,,,,,,,,,
,,health,,0.07,0.01,0,0,#VALUE!,,,,,,,,,,
